id,composition,Natom,Nelem,D,Nmag,CS,SG,E,M,MR,MSVL,dmean,dstd,ehull
mp-5163,La4 Rh4 O12,20,3,12.5310259403746,0,2,62,3.604,57.96,0.0,7.90193892,4.593966383619454,1.6054863175629093,0.0
mp-756909,Tl4 Ga4 O12,20,3,11.586743095127746,0,2,62,2.498,64.424,0.0,7.87435,4.46472417759697,1.5568612118082283,0.06959211999999937
mp-19281,La4 Cr4 O12,20,3,11.830883157261901,4,2,62,3.274,47.78,0.5,7.78598881,4.568201509578534,1.5868413027855204,0.0
mp-770347,Tb2 Ni2 O6,10,3,10.819253637657697,2,5,167,3.258,53.11800000000001,0.5,7.250157044118941,3.7737500000700623,1.7594721032032996,0.041731725
mp-1184042,Cu1 B1 O3,5,3,7.525534275235205,4,1,221,3.4200000000000004,24.472,0.5,3.350959,2.2145369115308653,0.38580184852303034,1.1187388422916662
mp-756246,Nd4 Zr4 O12,20,3,15.522158826074525,0,4,119,3.4900000000000007,56.68399999999999,0.5,9.999534265441888,4.880661711814657,1.7689494322742816,0.08602045297499927
mp-20940,Ti4 Cd4 O12,20,3,11.47223585230871,0,2,26,2.762,41.654,2.0,7.692163,4.1960574375008,1.4208643513399315,0.03956816749999881
mp-1184957,K1 Rb1 O3,5,3,25.03903529912226,3,1,221,1.9172,34.513999999999996,0.5,5.002601,3.3060519595021063,0.5759583191627112,0.7662700690000004
mp-641635,Ca4 C4 O12,20,3,15.322891979968109,0,2,62,3.402,20.018,0.5,10.858715,5.546510955617254,2.284857094186538,1.3777728225000008
mp-1185420,Li1 Ru1 O3,5,3,11.278279751039582,0,1,221,3.2340000000000004,31.208,0.5,3.834755,2.534261533542351,0.44150213942723043,0.2110826307916689
mp-1178219,Hf4 Ni4 O12,20,3,10.81266138982134,4,7,14,3.7359999999999998,57.038,0.5,9.878522202977088,4.903485323659366,2.148512312207433,0.09684328849999524
mp-1079050,La2 As2 O6,10,3,14.151370411239242,0,7,11,3.0460000000000003,52.364,0.5,6.422470580715523,3.6081625102679427,1.1815330048061896,0.0
mp-603907,Mg4 Si4 O12,20,3,9.722008851192811,0,7,15,2.7880000000000003,20.080000000000002,0.5,6.951074712994838,4.1097577289576686,1.4743727116024827,0.19128921066667104
mp-1016828,Cd1 Ir1 O3,5,3,12.355627894664153,1,1,221,3.18,70.52000000000001,0.5,3.953165,2.6125147487247418,0.45513489258345,0.4631984149999955
mp-1185551,Cs1 Tb1 O3,5,3,19.39059147979507,4,1,221,2.5308,67.96000000000001,0.0,4.593958,3.0359934457635886,0.5289105263410155,0.28188261887499877
mp-12867,Sr2 Sn2 O6,10,3,13.291090821475049,0,4,140,2.532,50.864,0.0,7.593822337482341,3.77057898438756,1.3337618880633757,0.006706956999988023
mp-1184206,Ga1 Si1 O3,5,3,9.149907535536443,0,1,221,3.048,29.162,0.0,3.576533,2.3636112360098176,0.41177258292435664,0.6703666545000004
mp-972021,Sr1 In1 O3,5,3,14.970820477151412,2,1,221,2.4080000000000004,50.084,0.0,4.214427,2.7851740807489107,0.48521444967406907,0.19418390049999168
mp-971733,Zn1 Ga1 O3,5,3,11.220401743835305,3,1,221,2.3920000000000003,36.62,0.5,3.828184,2.5299189790540177,0.4407456085515483,0.7339474211250003
mp-4170,Na1 Ta1 O3,5,3,12.305930988919723,0,1,221,3.4025999999999996,50.378,0.5,3.9480060938891093,2.6089985757551832,0.454508222128791,0.02775412949999989
mp-13334,Zn2 Sn2 O6,10,3,11.757007878380284,0,5,161,2.458,46.416,0.5,8.212487889678423,4.176872158361298,2.0476735687252026,0.04142365500000089
mp-4471,Sc4 Al4 O12,20,3,9.553503967873123,0,2,62,3.018,23.988,0.5,7.297695,4.165958724735959,1.4426931630178772,0.02802021737499949
mp-1384267,Al2 Sb2 O6,10,3,13.603416288565864,0,3,194,2.7880000000000003,39.356,0.5,12.703106,5.170058984178748,2.6796691247266904,0.8020277639999991
mp-868005,Ga8 Fe8 O24,40,3,10.903606433698961,17,6,1,2.978,34.714,0.5,9.53171694121359,5.367061486023878,2.045602525476275,0.03666854199999925
mp-4391,Mg2 Si2 O6,10,3,8.41979956765026,0,2,63,2.7880000000000003,20.080000000000002,0.5,6.729538,3.520707385886498,1.2819214574360198,0.26111877616667023
mp-1195746,Mg8 Si8 O24,40,3,10.913289119177378,0,7,13,2.7880000000000003,20.080000000000002,0.5,9.416648446733017,5.347877577685542,2.0085406540585375,0.021623114416669864
mp-768479,Y2 Sc2 O6,10,3,13.894105351591026,0,3,194,3.214,36.374,0.0,12.444239,5.028828161365927,2.578097870948048,0.030876317750001547
mp-1178815,V4 Ag4 O12,20,3,14.38153273119583,0,7,15,3.2120000000000006,41.368,0.0,8.10448806071353,4.710274408236412,1.8938420861511347,0.011701726000012513
mp-1196213,Li8 Nb8 O24,40,3,12.157126234575715,0,7,14,3.4,29.57,0.5,9.509342968016954,5.537429444049891,2.031582507194708,0.013330627000003759
mp-977152,Np1 Ti1 O3,5,3,12.031931509778461,1,1,221,3.4760000000000004,66.574,0.5,3.918337,2.589498086463343,0.4511250832183219,0.17949956
mp-1185941,Mg1 Re1 O3,5,3,12.070949663062647,0,1,221,3.468,51.702,0.5,3.922568,2.5922942130864035,0.4516122057468581,0.6498382660714288
mp-972822,Si1 B1 O3,5,3,7.4269289759112045,0,1,221,3.6480000000000006,17.380000000000003,0.0,3.336259,2.2048221723772365,0.38410941147044664,1.9162994509791629
mp-1186400,Pa1 Co1 O3,5,3,10.82049867022362,1,1,221,2.438,67.586,0.5,3.782153,2.4994986281709792,0.435445977941516,0.6302286234999972
mp-770843,V4 Cr4 O12,20,3,9.94893275458678,8,6,1,3.442,30.188,0.5,7.403891304403922,3.999128028568236,1.347804518064852,0.011187488625001407
mp-545712,Li1 U1 O3,5,3,15.63952370749414,1,1,221,2.996,58.588,0.5,4.276264,2.8260400892552324,0.4923338530768319,0.20903442499999692
mp-755018,Rb1 Ta1 O3,5,3,13.69912932491017,0,5,160,3.3504000000000005,62.874,0.0,4.09776242872915,2.6700792178036528,0.506745389618124,0.052566979500060285
mp-973818,Li1 Ho1 O3,5,3,9.830194089796125,4,1,221,2.5140000000000002,43.968,0.5,3.66306,2.4207940410945796,0.4217345897848261,0.4370870380892864
mp-19385,Y6 Mn6 O18,30,3,12.442467020468218,6,3,185,3.018,38.37,0.5,11.440423080000006,5.392767276051777,2.24223293810571,0.0
mp-573119,Bi4 Rh4 O12,20,3,12.582425901689692,0,2,62,3.146,71.976,0.0,7.812214,4.589510161931277,1.5798483077349248,0.06198417737499451
mp-754524,Ce1 Ti1 O3,5,3,12.257687654208208,1,1,221,3.3939999999999997,47.194,0.5,3.942692,2.6055934927277384,0.45392911753231335,0.08380945625000358
mp-7238,Nd4 B4 O12,20,3,11.712325729010127,0,2,62,3.4019999999999997,40.602,0.0,8.09798399,4.265807308938413,1.6337559976228948,0.0
mp-1077622,Eu1 Ag1 O3,5,3,13.677293653469269,1,1,221,2.5220000000000002,61.58,0.0,4.089373,2.7025300678157236,0.47081676102279074,0.40340871075000084
mp-1096944,Cs1 Nb1 O3,5,3,14.511932952706848,0,1,221,3.2348,54.762,0.0,4.170919,2.7564210963206066,0.48020529652551075,0.2512933467499989
mp-1180212,Mn10 Si10 O30,50,3,13.637609131543302,10,6,2,3.0700000000000003,26.206,0.5,13.844801204031876,6.591374118260132,2.888960486114396,0.3715762217666718
mp-17554,La4 Mn4 O12,20,3,12.754087862409538,4,2,62,3.0380000000000003,48.368,0.5,7.777432920700824,4.648829564660181,1.6395706051162786,0.12553552845238158
mp-1180932,La4 Mn4 O12,20,3,15.502428642719902,4,2,62,3.0380000000000003,48.368,0.5,12.90489,5.680403524951877,2.5732811541498326,0.6305181589523805
